id,TARGET_NAME,TARGET_CLASS,SWISSPROT,ACTION_TYPE
P04746,Pancreatic alpha-amylase,Enzyme,AMYP_HUMAN,INHIBITOR
P04745,Alpha-amylase 1,Enzyme,AMY1_HUMAN,
P10253,Lysosomal alpha-glucosidase,Enzyme,LYAG_HUMAN,
P23739,"Sucrase-isomaltase, intestinal",Enzyme,SUIS_RAT,
Q6P7A9,Lysosomal alpha-glucosidase,Enzyme,LYAG_RAT,
P94451,Alpha-amylase,Enzyme,P94451_GEOSE,
P53051,"Oligo-1,6-glucosidase",Enzyme,MALX3_YEAST,
P00690,Pancreatic alpha-amylase,Enzyme,AMYP_PIG,
P14410,"Sucrase-isomaltase, intestinal",Enzyme,SUIS_HUMAN,
P08588,Beta-1 adrenergic receptor,GPCR,ADRB1_HUMAN,ANTAGONIST
P07550,Beta-2 adrenergic receptor,GPCR,ADRB2_HUMAN,
P19327,5-hydroxytryptamine receptor 1A,GPCR,5HT1A_RAT,
P02766,Transthyretin,Secreted,TTHY_HUMAN,
P07943,Aldose reductase,Enzyme,ALDR_RAT,
P28482,Mitogen-activated protein kinase 1,Kinase,MK01_HUMAN,
P35354,Prostaglandin G/H synthase 2,Enzyme,PGH2_HUMAN,INHIBITOR
P16116,Aldose reductase,Enzyme,ALDR_BOVIN,
Q4Z710,"Dihydropteroate synthetase, putative",Unclassified,Q4Z710_PLABA,
A0A113T0T6,"6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase",Unclassified,A0A113T0T6_PLABE,
P23219,Prostaglandin G/H synthase 1,Enzyme,PGH1_HUMAN,INHIBITOR
Q04760,Lactoylglutathione lyase,Enzyme,LGUL_HUMAN,
Q6TEK4,Vitamin K epoxide reductase complex subunit 1,Unclassified,VKOR1_RAT,INHIBITOR
Q9BQB6,Vitamin K epoxide reductase complex subunit 1,Enzyme,VKOR1_HUMAN,INHIBITOR
P29275,Adenosine receptor A2b,GPCR,AA2BR_HUMAN,
P35367,Histamine H1 receptor,GPCR,HRH1_HUMAN,ANTAGONIST
Q8NER1,Transient receptor potential cation channel subfamily V member 1,Ion channel,TRPV1_HUMAN,OPENER
Q14994,Nuclear receptor subfamily 1 group I member 3,Nuclear hormone receptor,NR1I3_HUMAN,
P00918,Carbonic anhydrase 2,Enzyme,CAH2_HUMAN,
P00915,Carbonic anhydrase 1,Enzyme,CAH1_HUMAN,
P22748,Carbonic anhydrase 4,Enzyme,CAH4_HUMAN,
Q16790,Carbonic anhydrase 9,Enzyme,CAH9_HUMAN,
O43570,Carbonic anhydrase 12,Enzyme,CAH12_HUMAN,
P43166,Carbonic anhydrase 7,Enzyme,CAH7_HUMAN,
P07451,Carbonic anhydrase 3,Enzyme,CAH3_HUMAN,
Q9ULX7,Carbonic anhydrase 14,Enzyme,CAH14_HUMAN,
P20292,Arachidonate 5-lipoxygenase-activating protein,Cytosolic other,AL5AP_HUMAN,
P12530,Arachidonate 15-lipoxygenase,Enzyme,LOX15_RABIT,
Q9D6N1,Carbonic anhydrase 13,Enzyme,CAH13_MOUSE,
Q99N23,Carbonic anhydrase 15,Enzyme,CAH15_MOUSE,
P02144,Myoglobin,Unclassified,MYG_HUMAN,
P21554,Cannabinoid receptor 1,GPCR,CNR1_HUMAN,AGONIST
Q6XQN6,Nicotinate phosphoribosyltransferase,Enzyme,PNCB_HUMAN,
Q9VTU8,"Carbonic anhydrase 2, isoform A; LD26647p",Enzyme,Q9VTU8_DROME,
Q9V396,Carbonic anhydrase 1; GH09688p,Enzyme,Q9V396_DROME,
P00918,Carbonic anhydrase 2,Enzyme,CAH2_HUMAN,INHIBITOR
P00915,Carbonic anhydrase 1,Enzyme,CAH1_HUMAN,INHIBITOR
P22748,Carbonic anhydrase 4,Enzyme,CAH4_HUMAN,INHIBITOR
O43570,Carbonic anhydrase 12,Enzyme,CAH12_HUMAN,INHIBITOR
P29972,Aquaporin-1,Transporter,AQP1_HUMAN,
P35218,"Carbonic anhydrase 5A, mitochondrial",Enzyme,CAH5A_HUMAN,
Q9Y2D0,"Carbonic anhydrase 5B, mitochondrial",Enzyme,CAH5B_HUMAN,
O24855,Carbonic anhydrase,Enzyme,CYNT_HELPY,
P23280,Carbonic anhydrase 6,Enzyme,CAH6_HUMAN,
Q95323,Carbonic anhydrase 4,Enzyme,CAH4_BOVIN,
Q9ERQ8,Carbonic anhydrase 7,Enzyme,CAH7_MOUSE,
P40881,Carbonic anhydrase,Enzyme,CAH_METTE,
Q50565,Carbonic anhydrase,Enzyme,Q50565_METTH,
Q8N1Q1,Carbonic anhydrase 13,Enzyme,CAH13_HUMAN,
P53615,Carbonic anhydrase,Enzyme,CAN_YEAST,
Q5AJ71,Carbonic anhydrase,Enzyme,CAN_CANAL,
P96878,Probable transmembrane carbonic anhydrase (Carbonate dehydratase) (Carbonic dehydratase); Transmembrane carbonic anhydrase,Enzyme,P96878_MYCTU,
Q6FTL6,Carbonic anhydrase,Enzyme,Q6FTL6_CANGA,
B5SU02,Alpha carbonic anhydrase,Enzyme,B5SU02_9CNID,
P29029,Endochitinase,Enzyme,CHIT_YEAST,
C0IX24,Carbonic anhydrase,Enzyme,C0IX24_9CNID,
Q3I4V7,Carbonic anhydrase 2,Enzyme,Q3I4V7_CRYNV,
Q2PCB5,Carbonic anhydrase,Enzyme,Q2PCB5_DICLA,
A6YCJ1,Astrosclerin-3,Enzyme,A6YCJ1_9METZ,
P9WPJ7,Beta-carbonic anhydrase 1,Enzyme,MTCA1_MYCTU,
Q5U9J1,Delta carbonic anhydrase,Unclassified,Q5U9J1_THAWE,
P9WPJ9,Carbonic anhydrase 2,Enzyme,MTCA2_MYCTU,
P00921,Carbonic anhydrase 2,Enzyme,CAH2_BOVIN,
O43570|P00915|P00918|P07451|P22748|P23280|P35218|P43166|Q16790|Q8N1Q1|Q9ULX7|Q9Y2D0,Carbonic anhydrase,Enzyme,CAH12_HUMAN|CAH1_HUMAN|CAH2_HUMAN|CAH3_HUMAN|CAH4_HUMAN|CAH6_HUMAN|CAH5A_HUMAN|CAH7_HUMAN|CAH9_HUMAN|CAH13_HUMAN|CAH14_HUMAN|CAH5B_HUMAN,
P00921|P18915|Q3SZX4|Q95323,Carbonic anhydrase,Enzyme,CAH2_BOVIN|CAH6_BOVIN|CAH3_BOVIN|CAH4_BOVIN,
P35218|Q9Y2D0,Carbonic anhydrase V,Enzyme,CAH5A_HUMAN|CAH5B_HUMAN,
P46510,Carbonic anhydrase,Enzyme,CAHX_FLABI,
Q3SZX4,Carbonic anhydrase 3,Enzyme,CAH3_BOVIN,
Q5TU56,Carbonic anhydrase,Enzyme,Q5TU56_ANOGA,
Q9HVB9,Carbonic anhydrase,Enzyme,Q9HVB9_PSEAE,
Q31FD6,"Carbonic anhydrase, alpha family",Unclassified,Q31FD6_HYDCU,
B2V8E3,Carbonate dehydratase,Enzyme,B2V8E3_SULSY,
O75493,Carbonic anhydrase-related protein 11,Enzyme,CAH11_HUMAN,
Q09428|Q14654,"Sulfonylurea receptor 1, Kir6.2",Ion channel,ABCC8_HUMAN|KCJ11_HUMAN,BLOCKER
Q03282|Q03283|Q03284,Bacterial urease,Enzyme,URE3_ECOLX|URE2_ECOLX|URE1_ECOLX,INHIBITOR
P07374,Urease,Enzyme,UREA_CANEN,
Q0PXQ5,Urease subunit beta,Enzyme,Q0PXQ5_HELPX,
P14416,D(2) dopamine receptor,GPCR,DRD2_HUMAN,ANTAGONIST
P15207,Androgen receptor,Transcription factor,ANDR_RAT,
P12821,Angiotensin-converting enzyme,Enzyme,ACE_HUMAN,
P08473,Neprilysin,Enzyme,NEP_HUMAN,INHIBITOR
P12822,Angiotensin-converting enzyme,Enzyme,ACE_RABIT,
P07861,Neprilysin,Enzyme,NEP_RAT,
P08049,Neprilysin,Enzyme,NEP_RABIT,
P19621,Neprilysin,Enzyme,NEP_PIG,
P42892,Endothelin-converting enzyme 1,Enzyme,ECE1_HUMAN,
P00800,Thermolysin,Enzyme,THER_BACTH,
P23141,Liver carboxylesterase 1,Enzyme,EST1_HUMAN,
P14061,Estradiol 17-beta-dehydrogenase 1,Enzyme,DHB1_HUMAN,
P37059,Estradiol 17-beta-dehydrogenase 2,Enzyme,DHB2_HUMAN,
P80365,Corticosteroid 11-beta-dehydrogenase isozyme 2,Enzyme,DHI2_HUMAN,
P28845,Corticosteroid 11-beta-dehydrogenase isozyme 1,Enzyme,DHI1_HUMAN,
O00748,Cocaine esterase,Enzyme,EST2_HUMAN,
P11229,Muscarinic acetylcholine receptor M1,GPCR,ACM1_HUMAN,
P08172,Muscarinic acetylcholine receptor M2,GPCR,ACM2_HUMAN,AGONIST
P20309,Muscarinic acetylcholine receptor M3,GPCR,ACM3_HUMAN,AGONIST
P08173,Muscarinic acetylcholine receptor M4,GPCR,ACM4_HUMAN,AGONIST
P08912,Muscarinic acetylcholine receptor M5,GPCR,ACM5_HUMAN,
P36544,Neuronal acetylcholine receptor subunit alpha-7,Ion channel,ACHA7_HUMAN,
P58154,Acetylcholine-binding protein,Unclassified,ACHP_LYMST,
P02718,Acetylcholine receptor subunit delta,Ion channel,ACHD_TORCA,
Q05941,Neuronal acetylcholine receptor subunit alpha-7,Ion channel,ACHA7_RAT,
P12389|P12390,Neuronal acetylcholine receptor; alpha2/beta2,Ion channel,ACHA2_RAT|ACHB2_RAT,
P04757|P12390,Neuronal acetylcholine receptor; alpha3/beta2,Ion channel,ACHA3_RAT|ACHB2_RAT,
P04757|P12392,Neuronal acetylcholine receptor; alpha3/beta4,Ion channel,ACHA3_RAT|ACHB4_RAT,
P09483|P12390,Neuronal acetylcholine receptor; alpha4/beta2,Ion channel,ACHA4_RAT|ACHB2_RAT,
P09483|P12392,Neuronal acetylcholine receptor; alpha4/beta4,Ion channel,ACHA4_RAT|ACHB4_RAT,
P17787|P43681,Neuronal acetylcholine receptor; alpha4/beta2,Ion channel,ACHB2_HUMAN|ACHA4_HUMAN,
P08482|P08483|P08485|P08911|P10980,Muscarinic acetylcholine receptor,GPCR,ACM1_RAT|ACM3_RAT|ACM4_RAT|ACM5_RAT|ACM2_RAT,
H6TY12,Nicotinic acetylcholine receptor alpha8 subunit,Ion channel,H6TY12_PERAM,
P99999,Cytochrome c,Enzyme,CYC_HUMAN,
P15692,Vascular endothelial growth factor A,Secreted,VEGFA_HUMAN,
P04179,"Superoxide dismutase [Mn], mitochondrial",Enzyme,SODM_HUMAN,
P48637,Glutathione synthetase,Enzyme,GSHB_HUMAN,MODULATOR
Q9UPY5,Cystine/glutamate transporter,Transporter,XCT_HUMAN,MODULATOR
P05023|P05026|P13637|P14415|P50993|P54709|P54710|Q13733,Sodium/potassium-transporting ATPase,Transporter,AT1A1_HUMAN|AT1B1_HUMAN|AT1A3_HUMAN|AT1B2_HUMAN|AT1A2_HUMAN|AT1B3_HUMAN|ATNG_HUMAN|AT1A4_HUMAN,INHIBITOR
P21728,D(1A) dopamine receptor,GPCR,DRD1_HUMAN,ANTAGONIST
P04156,Major prion protein,Surface antigen,PRIO_HUMAN,
P60045,Acidic phospholipase A2 3,Enzyme,PA2A3_NAJSG,
P19440,Gamma-glutamyltranspeptidase 1,Enzyme,GGT1_HUMAN,
P05979,Prostaglandin G/H synthase 1,Enzyme,PGH1_SHEEP,
P79208,Prostaglandin G/H synthase 2,Enzyme,PGH2_SHEEP,
O62664,Prostaglandin G/H synthase 1,Enzyme,PGH1_BOVIN,
Q9UHC3,Acid-sensing ion channel 3,Ion channel,ASIC3_HUMAN,BLOCKER
Q8TDS4,Hydroxycarboxylic acid receptor 2,GPCR,HCAR2_HUMAN,AGONIST
P10276,Retinoic acid receptor alpha,Nuclear hormone receptor,RARA_HUMAN,AGONIST
O95342,Bile salt export pump,Transporter,ABCBB_HUMAN,
P13631,Retinoic acid receptor gamma,Nuclear hormone receptor,RARG_HUMAN,AGONIST
O70127,Bile salt export pump,Transporter,ABCBB_RAT,
P41595,5-hydroxytryptamine receptor 2B,GPCR,5HT2B_HUMAN,
P08253,72 kDa type IV collagenase,Enzyme,MMP2_HUMAN,
P11387,DNA topoisomerase 1,Enzyme,TOP1_HUMAN,INHIBITOR
P11388|Q02880,DNA topoisomerase II,Enzyme,TOP2A_HUMAN|TOP2B_HUMAN,INHIBITOR
P08172|P08173|P08912|P11229|P20309,Muscarinic acetylcholine receptor,GPCR,ACM2_HUMAN|ACM4_HUMAN|ACM5_HUMAN|ACM1_HUMAN|ACM3_HUMAN,AGONIST
P08183,Multidrug resistance protein 1,Transporter,MDR1_HUMAN,
P31389,Histamine H1 receptor,GPCR,HRH1_CAVPO,
P00491,Purine nucleoside phosphorylase,Enzyme,PNPH_HUMAN,
P09250,Thymidine kinase,Kinase,KITH_VZVD,
P9WP01,Purine nucleoside phosphorylase,Enzyme,PUNA_MYCTU,
P04293,DNA polymerase catalytic subunit,Enzyme,DPOL_HHV11,INHIBITOR
P09252,DNA polymerase catalytic subunit,Enzyme,DPOL_VZVD,INHIBITOR
Q9QNF7,Thymidine kinase,Kinase,KITH_HHV1,INHIBITOR
P04407,Thymidine kinase,Kinase,KITH_HHV23,INHIBITOR
P23415,Glycine receptor subunit alpha-1,Ion channel,GLRA1_HUMAN,
P10276,Retinoic acid receptor alpha,Nuclear hormone receptor,RARA_HUMAN,
P10826,Retinoic acid receptor beta,Nuclear hormone receptor,RARB_HUMAN,AGONIST
Q9IF40,Protein P,Polyprotein,Q9IF40_HBV,INHIBITOR
P54098,DNA polymerase subunit gamma-1,Enzyme,DPOG1_HUMAN,
Q03732,Capsid protein,Unclassified,Q03732_HBV,
P47989,Xanthine dehydrogenase/oxidase,Enzyme,XDH_HUMAN,
P42356|Q8TCG2|Q9BTU6|Q9UBF8,"Phosphatidylinositol 4-kinase, PI4K",Kinase,PI4KA_HUMAN|P4K2B_HUMAN|P4K2A_HUMAN|PI4KB_HUMAN,
P29274,Adenosine receptor A2a,GPCR,AA2AR_HUMAN,AGONIST
P30542,Adenosine receptor A1,GPCR,AA1R_HUMAN,AGONIST
P29275,Adenosine receptor A2b,GPCR,AA2BR_HUMAN,AGONIST
P0DMS8,Adenosine receptor A3,GPCR,AA3R_HUMAN,AGONIST
P55263,Adenosine kinase,Kinase,ADK_HUMAN,
P00813,Adenosine deaminase,Enzyme,ADA_HUMAN,
P25099,Adenosine receptor A1,GPCR,AA1R_RAT,
P30543,Adenosine receptor A2a,GPCR,AA2AR_RAT,
P28647,Adenosine receptor A3,GPCR,AA3R_RAT,
Q9TVW2,Adenosine kinase,Kinase,ADK_TOXGO,
O43318,Mitogen-activated protein kinase kinase kinase 7,Kinase,M3K7_HUMAN,
P23526,Adenosylhomocysteinase,Enzyme,SAHH_HUMAN,
P29276|P30543,Adenosine A2 receptor,GPCR,AA2BR_RAT|AA2AR_RAT,
Q9BTU6,Phosphatidylinositol 4-kinase type 2-alpha,Kinase,P4K2A_HUMAN,INHIBITOR
Q8TCG2,Phosphatidylinositol 4-kinase type 2-beta,Kinase,P4K2B_HUMAN,INHIBITOR
P04406,Glyceraldehyde-3-phosphate dehydrogenase liver,Enzyme,G3P_HUMAN,
P00515|P00517|P05131|P31322,cAMP-dependent protein kinase A,Kinase,KAP2_BOVIN|KAPCA_BOVIN|KAPCB_BOVIN|KAP3_BOVIN,
Q8TEK3,"Histone-lysine N-methyltransferase, H3 lysine-79 specific",Enzyme,DOT1L_HUMAN,
P49652,P2Y purinoceptor 1,GPCR,P2RY1_MELGA,
P51575,P2X purinoceptor 1,Ion channel,P2RX1_HUMAN,AGONIST
P51582,P2Y purinoceptor 4,GPCR,P2RY4_HUMAN,
O60674,Tyrosine-protein kinase JAK2,Kinase,JAK2_HUMAN,
P47900,P2Y purinoceptor 1,GPCR,P2RY1_HUMAN,
P41231,P2Y purinoceptor 2,GPCR,P2RY2_HUMAN,AGONIST
Q96G91,P2Y purinoceptor 11,GPCR,P2Y11_HUMAN,
Q8TD43,Transient receptor potential cation channel subfamily M member 4,Ion channel,TRPM4_HUMAN,BLOCKER
Q9BPV8,P2Y purinoceptor 13,GPCR,P2Y13_HUMAN,AGONIST
P41148,Endoplasmin,Membrane other,ENPL_CANFA,
P49137,MAP kinase-activated protein kinase 2,Kinase,MAPK2_HUMAN,
Q99571,P2X purinoceptor 4,Ion channel,P2RX4_HUMAN,AGONIST
Q13304,Uracil nucleotide/cysteinyl leukotriene receptor,GPCR,GPR17_HUMAN,AGONIST
P56373,P2X purinoceptor 3,Ion channel,P2RX3_HUMAN,
Q12931,"Heat shock protein 75 kDa, mitochondrial",Unclassified,TRAP1_HUMAN,
P29410,Adenylate kinase 2,Kinase,KAD2_RAT,
P11142,Heat shock cognate 71 kDa protein,Unclassified,HSP7C_HUMAN,
P0DMV8,Heat shock 70 kDa protein 1A,Unclassified,HS71A_HUMAN,
Q7TN37,Transient receptor potential cation channel subfamily M member 4,Ion channel,TRPM4_MOUSE,BLOCKER
P49653,P2X purinoceptor 2,Unclassified,P2RX2_RAT,AGONIST
Q9JJX6,P2X purinoceptor 4,Unclassified,P2RX4_MOUSE,AGONIST
O35811,P2Y purinoceptor 4,GPCR,P2RY4_RAT,AGONIST
P51577,P2X purinoceptor 4,Unclassified,P2RX4_RAT,AGONIST
P51579,P2X purinoceptor 6,Unclassified,P2RX6_RAT,AGONIST
P51578,P2X purinoceptor 5,Unclassified,P2RX5_RAT,AGONIST
P09467,"Fructose-1,6-bisphosphatase 1",Enzyme,F16P1_HUMAN,
P00636,"Fructose-1,6-bisphosphatase 1",Enzyme,F16P1_PIG,
P12931,Proto-oncogene tyrosine-protein kinase Src,Kinase,SRC_HUMAN,
O94759,Transient receptor potential cation channel subfamily M member 2,Ion channel,TRPM2_HUMAN,
Q8TD43,Transient receptor potential cation channel subfamily M member 4,Ion channel,TRPM4_HUMAN,GATING INHIBITOR
Q72874,Pol polyprotein,Enzyme,Q72874_9HIV1,
P00327|P00328,Alcohol dehydrogenase,Enzyme,ADH1E_HORSE|ADH1S_HORSE,
P00338,L-lactate dehydrogenase A chain,Enzyme,LDHA_HUMAN,
P0A9J4,Ketopantoate reductase,Enzyme,PANE_ECOLI,
O43598,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,Enzyme,DNPH1_HUMAN,
O35820,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,Enzyme,DNPH1_RAT,
P30536,Translocator protein,Transporter,TSPO_HUMAN,
O14764|P14867|P18505|P18507|P28472|P31644|P34903|P47869|P47870|P48169|Q16445|Q8N1C3|Q99928,GABA-A receptor,Ion channel,GBRD_HUMAN|GBRA1_HUMAN|GBRB1_HUMAN|GBRG2_HUMAN|GBRB3_HUMAN|GBRA5_HUMAN|GBRA3_HUMAN|GBRA2_HUMAN|GBRB2_HUMAN|GBRA4_HUMAN|GBRA6_HUMAN|GBRG1_HUMAN|GBRG3_HUMAN,POSITIVE ALLOSTERIC MODULATOR
P31390,Histamine H1 receptor,GPCR,HRH1_RAT,
P28223,5-hydroxytryptamine receptor 2A,GPCR,5HT2A_HUMAN,ANTAGONIST
P41595,5-hydroxytryptamine receptor 2B,GPCR,5HT2B_HUMAN,ANTAGONIST
P48039|P49286,Melatonin receptor,GPCR,MTR1A_HUMAN|MTR1B_HUMAN,
P49285|P49288|P51050,Melatonin receptor,GPCR,MTR1A_CHICK|MTR1C_CHICK|MTR1B_CHICK,
P28335,5-hydroxytryptamine receptor 2C,GPCR,5HT2C_HUMAN,ANTAGONIST
P48039,Melatonin receptor type 1A,GPCR,MTR1A_HUMAN,AGONIST
P49286,Melatonin receptor type 1B,GPCR,MTR1B_HUMAN,AGONIST
Q14524,Sodium channel protein type 5 subunit alpha,Ion channel,SCN5A_HUMAN,INHIBITOR
Q9UK17,Potassium voltage-gated channel subfamily D member 3,Ion channel,KCND3_HUMAN,INHIBITOR
P22460,Potassium voltage-gated channel subfamily A member 5,Ion channel,KCNA5_HUMAN,INHIBITOR
P12821,Angiotensin-converting enzyme,Enzyme,ACE_HUMAN,INHIBITOR
P0AFI2|P20083,Topoisomerase IV,Enzyme,PARC_ECOLI|PARE_ECOLI,INHIBITOR
P0AES4|P0AES6,DNA gyrase,Enzyme,GYRA_ECOLI|GYRB_ECOLI,INHIBITOR
P50719,Tubulin alpha chain,Structural,TBA_HAECO,
C4PKY4|C4PKZ2|C4PKZ6,Tubulin,Structural,C4PKY4_ECHGR|C4PKZ2_ECHGR|C4PKZ6_ECHGR,INHIBITOR
F1L005|F1L4P8|F1L5G6|F1L7U3|F1L7Y0|F1L8A5|F1LCS0,Tubulin,Structural,F1L005_ASCSU|F1L4P8_ASCSU|F1L5G6_ASCSU|F1L7U3_ASCSU|F1L7Y0_ASCSU|F1L8A5_ASCSU|F1LCS0_ASCSU,INHIBITOR
P08588,Beta-1 adrenergic receptor,GPCR,ADRB1_HUMAN,
P07550,Beta-2 adrenergic receptor,GPCR,ADRB2_HUMAN,AGONIST
Q8K4Z4,Beta-2 adrenergic receptor,GPCR,ADRB2_CAVPO,
Q28044,Beta-2 adrenergic receptor,GPCR,ADRB2_BOVIN,
P23219,Prostaglandin G/H synthase 1,Enzyme,PGH1_HUMAN,
P11229,Muscarinic acetylcholine receptor M1,GPCR,ACM1_HUMAN,ALLOSTERIC MODULATOR
P08172,Muscarinic acetylcholine receptor M2,GPCR,ACM2_HUMAN,ALLOSTERIC MODULATOR
P20309,Muscarinic acetylcholine receptor M3,GPCR,ACM3_HUMAN,ALLOSTERIC MODULATOR
P08173,Muscarinic acetylcholine receptor M4,GPCR,ACM4_HUMAN,
Q15822,Neuronal acetylcholine receptor subunit alpha-2,Ion channel,ACHA2_HUMAN,
P06199,Muscarinic acetylcholine receptor M2,GPCR,ACM2_PIG,
P02708|P11230|Q07001,Acetylcholine receptor,Ion channel,ACHA_HUMAN|ACHB_HUMAN|ACHD_HUMAN,
P30926|P43681,Neuronal acetylcholine receptor; alpha4/beta4,Ion channel,ACHB4_HUMAN|ACHA4_HUMAN,
P08235,Mineralocorticoid receptor,Nuclear hormone receptor,MCR_HUMAN,
P08185,Corticosteroid-binding globulin,Secreted,CBG_HUMAN,
P04278,Sex hormone-binding globulin,Secreted,SHBG_HUMAN,
P22199,Mineralocorticoid receptor,Transcription factor,MCR_RAT,
P14324,Farnesyl pyrophosphate synthase,Enzyme,FPPS_HUMAN,INHIBITOR
Q0GKD7,Farnesyl pyrophosphate synthase,Enzyme,Q0GKD7_LEIDO,
P49356,Protein farnesyltransferase subunit beta,Enzyme,FNTB_HUMAN,
P05369,Farnesyl pyrophosphate synthase,Enzyme,FPPS_RAT,
Q9NR96,Toll-like receptor 9,Membrane receptor,TLR9_HUMAN,
P0C6X7,Replicase polyprotein 1ab,Enzyme,R1AB_CVHSA,
Q932Y6,Beta-lactamase,Enzyme,Q932Y6_PSEAI,
Q8WUK0,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,Enzyme,PTPM1_HUMAN,INHIBITOR
P35372,Mu-type opioid receptor,GPCR,OPRM_HUMAN,AGONIST
P33535,Mu-type opioid receptor,GPCR,OPRM_RAT,
P97266,Mu-type opioid receptor,GPCR,OPRM_CAVPO,
P33533|P33535|P34975|Q9R0C9,Opioid receptor,GPCR,OPRD_RAT|OPRM_RAT|OPRK_RAT|SGMR1_RAT,
P35348,Alpha-1A adrenergic receptor,GPCR,ADA1A_HUMAN,ANTAGONIST
P25100,Alpha-1D adrenergic receptor,GPCR,ADA1D_HUMAN,ANTAGONIST
P35368,Alpha-1B adrenergic receptor,GPCR,ADA1B_HUMAN,ANTAGONIST
O15245,Solute carrier family 22 member 1,Transporter,S22A1_HUMAN,
